label,git_branch,git_commit,benchmark,description,dataset_kind,repeat_index,elapsed_seconds,call_kwargs,rows,cols,missing_ratio,masked_total,mask_kind,rmse,mae,accuracy,coverage,remaining_missing_total,numeric_cols,categorical_cols
baseline,main,8cd0aae,numeric_mar_medium,5000x25 float32 array with 8% MAR missingness.,array,0,5.498198699904606,{},5000,25,0.080648,10081,mar,0.5515878796577454,0.4296626150608063,,1.0,0,,
baseline,main,8cd0aae,numeric_mar_medium,5000x25 float32 array with 8% MAR missingness.,array,1,5.4704572999617085,{},5000,25,0.080648,10081,mar,0.5515878796577454,0.4296626150608063,,1.0,0,,
baseline,main,8cd0aae,numeric_block_medium,5000x25 float32 array with contiguous missing blocks on 25% of columns.,array,0,0.0273414000403136,{},5000,25,0.0432,5400,block,0.44520604610443115,0.35037264227867126,,1.0,0,,
baseline,main,8cd0aae,numeric_block_medium,5000x25 float32 array with contiguous missing blocks on 25% of columns.,array,1,0.02770440001040697,{},5000,25,0.0432,5400,block,0.44520604610443115,0.35037264227867126,,1.0,0,,
baseline,main,8cd0aae,numeric_feature_selection,3500x80 float32 array with 8% MAR and sampled nearest features.,array,0,4.220845300005749,{'n_nearest_features': 12},3500,80,0.08038928571428572,22509,mar,0.5035240054130554,0.39667215943336487,,1.0,0,,
baseline,main,8cd0aae,numeric_feature_selection,3500x80 float32 array with 8% MAR and sampled nearest features.,array,1,4.214473799918778,{'n_nearest_features': 12},3500,80,0.08038928571428572,22509,mar,0.5035240054130554,0.39667215943336487,,1.0,0,,
baseline,main,8cd0aae,numeric_wide_light_missing,2500x120 float32 array with 4% MAR missingness.,array,0,12.235143000027165,{},2500,120,0.03966,11898,mar,0.7288858294487,0.5673931837081909,,1.0,0,,
baseline,main,8cd0aae,numeric_wide_light_missing,2500x120 float32 array with 4% MAR missingness.,array,1,12.227568999980576,{},2500,120,0.03966,11898,mar,0.7288858294487,0.5673931837081909,,1.0,0,,
baseline,main,8cd0aae,mixed_dataframe_mar,"4000-row mixed dataframe with numeric, categorical, string, and boolean columns.",dataframe,0,0.9621155000058934,{},4000,9,0.10211111111111111,3676,mar,7914.160750183523,2758.2522052298677,0.9467238211879976,1.0,0,5.0,4.0
baseline,main,8cd0aae,mixed_dataframe_mar,"4000-row mixed dataframe with numeric, categorical, string, and boolean columns.",dataframe,1,0.9680901999818161,{},4000,9,0.10211111111111111,3676,mar,7914.160750183523,2758.2522052298677,0.9467238211879976,1.0,0,5.0,4.0
